 Count  Overhead File                    Line Function
   299         0 @NCTSSoS/…tion/moment_linear.jl  405 _assert_form_keys_in_moment_unive…
   303         0 @Base/boot.jl           959 UInt8
   303         0 @Base/boot.jl           899 toUInt8
   303       303 @Base/boot.jl           837 checked_trunc_uint
   304         0 @Base/abstractarray.jl 1201 copymutable
   308         0 @Base/iterators.jl      425 _zip_iterate_all
   308         0 @Base/iterators.jl      433 _zip_iterate_some
   309         0 @Base/dict.jl           243 ht_keyindex(h::Dict{Vector{UInt8}…
   310         0 @NCTSSoS/…c/types/polynomial.jl  128 _process_terms(input_terms::Vecto…
   310         0 @SymbolicWedderburn/…/ext_homomorphisms.jl   96 (::SymbolicWedderburn.var"#3#4"{N…
   310         0 @SymbolicWedderburn/src/actions.jl  174 induce
   310         0 @SymbolicWedderburn/…/ext_homomorphisms.jl  128 _induce
   311         0 @SymbolicWedderburn/…/ext_homomorphisms.jl   93 SymbolicWedderburn.CachedExtensio…
   311         0 @Base/task.jl           663 macro expansion
   311         0 @Base/task.jl           589 sync_end(c::Channel{Any})
   316       316 @Base/abstractarray.jl    ? copyto!(dest::SubArray{UInt8, 1, …
   318       318 @Base/math.jl           730 _hypot
   318         0 @NCTSSoS/…mplification/pauli.jl  169 simplify!(::Type{PauliAlgebra}, w…
   319         0 @Base/abstractarray.jl  757 checkindex
   320         0 @Compiler/src/typeinfer.jl 1256 typeinf_ext(interp::Compiler.Nati…
   321         0 @Base/dict.jl           705 isempty
   321         0 @SymbolicWedderburn/src/sa_basis.jl  164 #symmetry_adapted_basis#50
   321         0 @SymbolicWedderburn/…/ext_homomorphisms.jl  103 CachedExtensionHomomorphism
   321         0 @SymbolicWedderburn/…/ext_homomorphisms.jl  109 #CachedExtensionHomomorphism#5
   321         0 @SymbolicWedderburn/…/ext_homomorphisms.jl   83 CachedExtensionHomomorphism
   324         0 @Base/abstractarray.jl 3035 ==
